,customerID,age,age_group
982,64269,47,MIDDLE-AGED
987,74173,47,MIDDLE-AGED
990,59804,33,ADULT
993,69890,44,MIDDLE-AGED
996,62529,49,MIDDLE-AGED
1002,58075,37,MIDDLE-AGED
1004,77742,52,SENIOR
1007,64921,37,MIDDLE-AGED
1009,52332,38,MIDDLE-AGED
1015,54181,35,ADULT
1020,156909,38,MIDDLE-AGED
1029,61083,80,SENIOR
1030,70338,42,MIDDLE-AGED
1034,64578,57,SENIOR
1037,52780,50,MIDDLE-AGED
1047,65187,34,ADULT
1051,60952,36,MIDDLE-AGED
1055,64646,42,MIDDLE-AGED
1058,75748,29,ADULT
1059,154888,53,SENIOR
1065,156270,67,SENIOR
1068,63964,48,MIDDLE-AGED
1073,66881,63,SENIOR
1076,155622,55,SENIOR
1081,62045,42,MIDDLE-AGED
1082,61160,33,ADULT
1085,56091,43,MIDDLE-AGED
1088,67417,48,MIDDLE-AGED
1091,63832,41,MIDDLE-AGED
1099,70769,50,MIDDLE-AGED
1104,156655,49,MIDDLE-AGED
1108,155010,36,MIDDLE-AGED
1118,60924,9,YOUTH
1125,64058,34,ADULT
1128,62184,42,MIDDLE-AGED
1132,56300,40,MIDDLE-AGED
1138,60199,32,ADULT
1142,60873,33,ADULT
1146,70151,35,ADULT
1155,79842,65,SENIOR
1156,50459,37,MIDDLE-AGED
1159,52908,51,SENIOR
1167,55699,47,MIDDLE-AGED
1172,55142,44,MIDDLE-AGED
1178,56035,50,MIDDLE-AGED
1180,76467,40,MIDDLE-AGED
1188,154543,45,MIDDLE-AGED
1190,63369,23,ADULT
1197,55379,41,MIDDLE-AGED
1208,58222,53,SENIOR
1212,60417,33,ADULT
1217,58157,39,MIDDLE-AGED
1223,52737,45,MIDDLE-AGED
1230,156913,37,MIDDLE-AGED
1232,56175,45,MIDDLE-AGED
1236,62590,50,MIDDLE-AGED
1246,50540,31,ADULT
1248,52946,40,MIDDLE-AGED
1249,73432,48,MIDDLE-AGED
1254,56333,32,ADULT
1256,67854,33,ADULT
1258,68421,27,ADULT
1266,155401,56,SENIOR
1275,62840,29,ADULT
1278,54455,57,SENIOR
1280,64236,38,MIDDLE-AGED
1284,56032,41,MIDDLE-AGED
1286,56227,48,MIDDLE-AGED
1292,55949,31,ADULT
1298,58583,53,SENIOR
1302,75317,22,ADULT
1309,64517,36,MIDDLE-AGED
1313,59564,46,MIDDLE-AGED
1319,56329,25,ADULT
1321,70025,35,ADULT
1325,64251,57,SENIOR
1331,67252,22,ADULT
1336,53041,52,SENIOR
1343,77146,27,ADULT
1347,58651,51,SENIOR
1352,50765,53,SENIOR
1355,66585,49,MIDDLE-AGED
1360,64285,35,ADULT
1364,51720,33,ADULT
1367,58101,42,MIDDLE-AGED
1373,64116,49,MIDDLE-AGED
1376,62925,46,MIDDLE-AGED
1392,79454,47,MIDDLE-AGED
1397,79278,40,MIDDLE-AGED
1400,54345,41,MIDDLE-AGED
1408,62320,44,MIDDLE-AGED
1412,157844,39,MIDDLE-AGED
1419,52912,43,MIDDLE-AGED
1430,60602,36,MIDDLE-AGED
1435,58594,58,SENIOR
1439,54237,35,ADULT
1442,65684,38,MIDDLE-AGED
1445,73184,44,MIDDLE-AGED
1453,55544,47,MIDDLE-AGED
1458,73096,37,MIDDLE-AGED
1461,77234,35,ADULT
1464,56252,42,MIDDLE-AGED
1468,63761,36,MIDDLE-AGED
1477,58750,55,SENIOR
1484,54796,38,MIDDLE-AGED
1487,59631,39,MIDDLE-AGED
1494,56470,58,SENIOR
1503,61285,18,YOUTH
1509,60232,43,MIDDLE-AGED
1515,52073,40,MIDDLE-AGED
1524,75172,34,ADULT
1533,54028,38,MIDDLE-AGED
1536,154848,43,MIDDLE-AGED
1539,61130,52,SENIOR
1543,75784,35,ADULT
1550,61927,43,MIDDLE-AGED
1553,58099,46,MIDDLE-AGED
1555,56103,36,MIDDLE-AGED
1558,60653,61,SENIOR
1570,77108,61,SENIOR
1577,51851,42,MIDDLE-AGED
1584,54168,27,ADULT
1590,73791,43,MIDDLE-AGED
1595,51235,32,ADULT
1608,63820,50,MIDDLE-AGED
1622,60383,39,MIDDLE-AGED
1625,70362,44,MIDDLE-AGED
1636,66814,38,MIDDLE-AGED
1641,56080,61,SENIOR
1650,50519,41,MIDDLE-AGED
1652,59195,45,MIDDLE-AGED
1655,65332,47,MIDDLE-AGED
1657,78529,40,MIDDLE-AGED
1664,76999,17,YOUTH
1667,79939,43,MIDDLE-AGED
1682,60235,29,ADULT
1691,74218,41,MIDDLE-AGED
1700,61188,67,SENIOR
1710,79705,39,MIDDLE-AGED
1711,76841,29,ADULT
1721,154472,22,ADULT
1725,58743,49,MIDDLE-AGED
1729,55463,51,SENIOR
1731,63946,8,YOUTH
1738,54426,32,ADULT
1751,65141,38,MIDDLE-AGED
1753,52018,31,ADULT
1755,70673,38,MIDDLE-AGED
1761,56871,41,MIDDLE-AGED
1765,60782,45,MIDDLE-AGED
1767,59277,21,ADULT
1773,64400,38,MIDDLE-AGED
1777,63568,45,MIDDLE-AGED
1781,70179,34,ADULT
1786,66100,50,MIDDLE-AGED
1789,59988,9,YOUTH
1800,58342,41,MIDDLE-AGED
1807,62836,44,MIDDLE-AGED
1811,56171,24,ADULT
1814,52040,21,ADULT
1818,63744,48,MIDDLE-AGED
1824,52609,52,SENIOR
1827,61325,51,SENIOR
1829,74601,40,MIDDLE-AGED
1834,79385,11,YOUTH
1839,58032,53,SENIOR
1847,61087,47,MIDDLE-AGED
1852,58551,51,SENIOR
1858,58610,67,SENIOR
1869,53788,45,MIDDLE-AGED
1875,57503,28,ADULT
1879,54779,47,MIDDLE-AGED
1884,56159,43,MIDDLE-AGED
1891,60002,31,ADULT
1894,61327,31,ADULT
1896,54822,32,ADULT
1898,59704,35,ADULT
1901,79853,56,SENIOR
1911,73573,43,MIDDLE-AGED
1916,56178,49,MIDDLE-AGED
1924,57876,30,ADULT
1925,73125,52,SENIOR
1931,63938,55,SENIOR
