0,1,6,8,33,8,8,9,10,11,13,10,14,15,14,17,14,18,13,13,14,17,14,15,15,17,16,18,18,19,26,21,21,24,23,24,22,28,24,23,28,27,24,24,25,25,30,29,29,27
1,0,6,8,33,8,8,10,11,12,14,11,15,15,14,17,15,19,14,14,15,17,15,16,16,18,17,19,19,20,26,21,22,25,23,25,23,29,25,24,29,27,25,25,26,26,31,30,30,27
6,6,0,3,27,2,2,4,5,6,8,5,9,9,8,11,8,13,8,8,9,11,9,10,10,12,11,13,13,14,20,15,15,18,17,19,17,23,19,18,23,21,19,19,20,20,25,24,23,21
8,8,3,0,28,3,2,4,5,7,9,6,10,10,9,12,9,13,8,9,10,12,9,11,11,12,12,14,13,15,21,16,16,19,18,20,18,24,19,19,24,22,20,19,21,21,26,25,24,22
33,33,27,28,0,26,28,25,25,28,26,22,26,24,23,24,23,24,21,20,19,20,20,21,19,19,19,24,17,21,24,23,24,22,29,30,28,27,22,29,34,30,26,25,27,29,36,31,31,25
8,8,2,3,26,0,2,2,3,4,6,3,7,7,7,10,7,11,6,6,7,10,7,8,8,10,9,11,11,12,19,14,14,17,16,17,15,21,17,16,21,20,17,17,18,18,23,22,22,20
8,8,2,2,28,2,0,4,5,6,8,5,9,9,9,12,9,13,8,8,9,12,9,10,10,12,11,13,13,14,21,16,16,19,18,19,17,23,19,18,23,21,19,19,20,20,25,24,24,22
9,10,4,4,25,2,4,0,1,2,4,3,5,6,6,9,7,11,6,6,7,9,7,8,8,10,9,11,11,12,18,13,14,17,15,17,15,21,17,16,21,19,17,17,18,18,23,22,22,19
10,11,5,5,25,3,5,1,0,3,3,4,4,5,6,9,6,10,5,6,6,9,6,7,8,9,8,11,10,11,18,13,13,16,15,16,14,21,16,16,21,19,17,16,18,18,22,21,21,19
11,12,6,7,28,4,6,2,3,0,6,5,7,8,9,12,9,13,8,8,9,12,9,10,10,12,11,13,13,14,21,16,16,19,18,19,17,23,19,18,23,21,19,19,20,20,25,24,24,22
13,14,8,9,26,6,8,4,3,6,0,6,2,3,7,10,4,11,6,7,8,10,7,9,9,10,10,12,11,13,19,14,14,17,16,18,16,22,17,17,22,20,18,17,19,19,24,23,22,20
10,11,5,6,22,3,5,3,4,5,6,0,6,4,3,6,4,8,3,3,4,6,4,5,5,7,6,8,8,9,15,10,11,14,13,14,12,18,14,13,18,16,14,14,15,15,20,19,19,16
14,15,9,10,26,7,9,5,4,7,2,6,0,2,8,10,3,11,6,7,7,10,7,8,9,10,9,12,11,12,19,14,14,17,16,17,15,22,17,16,22,20,18,17,19,19,23,22,22,20
15,15,9,10,24,7,9,6,5,8,3,4,2,0,6,8,2,9,4,5,6,8,5,7,7,8,8,10,9,11,17,12,12,15,14,16,14,20,15,15,20,18,16,15,17,17,22,21,20,18
14,14,8,9,23,7,9,6,6,9,7,3,8,6,0,6,5,8,3,3,4,6,4,5,5,7,6,9,8,9,16,10,11,14,12,14,12,19,14,13,18,16,14,14,15,15,20,19,19,17
17,17,11,12,24,10,12,9,9,12,10,6,10,8,6,0,7,4,4,4,5,4,6,7,6,6,7,10,8,7,14,7,7,10,9,10,8,17,13,9,14,12,10,10,11,11,16,15,15,14
14,15,8,9,23,7,9,7,6,9,4,4,3,2,5,7,0,9,4,4,5,7,4,6,6,8,7,9,8,10,16,11,11,14,13,15,13,19,15,14,19,17,15,15,16,16,21,20,19,17
18,19,13,13,24,11,13,11,10,13,11,8,11,9,8,4,9,0,5,6,6,4,7,8,7,6,6,11,8,7,13,6,6,9,8,9,7,16,12,8,13,11,9,9,10,10,15,14,14,13
13,14,8,8,21,6,8,6,5,8,6,3,6,4,3,4,4,5,0,1,1,4,2,3,3,4,3,7,6,6,14,8,8,11,10,11,9,16,12,10,15,13,11,11,12,12,17,16,16,15
13,14,8,9,20,6,8,6,6,8,7,3,7,5,3,4,4,6,1,0,1,3,1,3,2,4,3,6,5,6,13,7,8,10,10,12,10,16,11,11,16,14,12,11,13,13,18,17,16,14
14,15,9,10,19,7,9,7,6,9,8,4,7,6,4,5,5,6,1,1,0,3,1,2,1,3,2,5,4,5,12,7,7,10,11,12,11,15,11,12,17,14,12,11,13,13,19,17,16,13
17,17,11,12,20,10,12,9,9,12,10,6,10,8,6,4,7,4,4,3,3,0,4,5,3,2,3,8,4,3,12,5,5,8,9,10,8,14,11,9,14,12,10,9,11,11,16,14,14,12
14,15,9,9,20,7,9,7,6,9,7,4,7,5,4,6,4,7,2,1,1,4,0,1,2,4,3,4,5,6,13,8,8,11,12,13,11,15,11,12,17,15,12,11,13,13,19,17,17,14
15,16,10,11,21,8,10,8,7,10,9,5,8,7,5,7,6,8,3,3,2,5,1,0,3,5,4,3,6,7,14,9,9,12,13,14,12,17,12,13,19,16,14,13,15,15,20,19,18,15
15,16,10,11,19,8,10,8,8,10,9,5,9,7,5,6,6,7,3,2,1,3,2,3,0,3,2,6,4,5,12,7,8,10,12,13,11,15,10,12,17,14,12,11,13,13,19,17,16,13
17,18,12,12,19,10,12,10,9,12,10,7,10,8,7,6,8,6,4,4,3,2,4,5,3,0,1,8,3,3,12,5,5,8,11,12,10,14,10,11,16,12,10,9,11,11,18,15,14,12
16,17,11,12,19,9,11,9,8,11,10,6,9,8,6,7,7,6,3,3,2,3,3,4,2,1,0,7,3,4,12,6,6,9,11,13,11,15,10,12,17,13,10,10,11,12,19,15,15,13
18,19,13,14,24,11,13,11,11,13,12,8,12,10,9,10,9,11,7,6,5,8,4,3,6,8,7,0,9,11,17,12,13,15,16,18,16,20,16,17,22,19,17,16,18,18,24,22,21,18
18,19,13,13,17,11,13,11,10,13,11,8,11,9,8,8,8,8,6,5,4,4,5,6,4,3,3,9,0,5,10,7,7,8,13,14,12,13,8,13,18,14,12,11,13,13,20,16,16,11
19,20,14,15,21,12,14,12,11,14,13,9,12,11,9,7,10,7,6,6,5,3,6,7,5,3,4,11,5,0,9,2,2,5,11,12,10,12,8,11,16,9,6,6,7,7,18,11,11,10
26,26,20,21,24,19,21,18,18,21,19,15,19,17,16,14,16,13,14,13,12,12,13,14,12,12,12,17,10,9,0,7,8,5,17,19,17,4,8,18,23,15,12,10,13,14,25,17,17,13
21,21,15,16,23,14,16,13,13,16,14,10,14,12,10,7,11,6,8,7,7,5,8,9,7,5,6,12,7,2,7,0,2,3,10,12,10,10,6,11,16,8,6,5,7,7,18,11,10,8
21,22,15,16,24,14,16,14,13,16,14,11,14,12,11,7,11,6,8,8,7,5,8,9,8,5,6,13,7,2,8,2,0,4,10,11,9,11,7,10,15,7,4,4,5,5,17,9,9,8
24,25,18,19,22,17,19,17,16,19,17,14,17,15,14,10,14,9,11,10,10,8,11,12,10,8,9,15,8,5,5,3,4,0,13,15,13,8,5,14,19,11,8,6,9,9,21,13,13,9
23,23,17,18,29,16,18,15,15,18,16,13,16,14,12,9,13,8,10,10,11,9,12,13,12,11,11,16,13,11,17,10,10,13,0,3,1,20,16,4,7,15,13,13,14,14,11,18,18,17
24,25,19,20,30,17,19,17,16,19,18,14,17,16,14,10,15,9,11,12,12,10,13,14,13,12,13,18,14,12,19,12,11,15,3,0,3,21,17,7,4,17,15,14,16,16,14,19,19,19
